# VHH-NNLO grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: kappa_lambda,kappa_z
# scan_x_keys: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.9	0.1022981964	0.1582968691	1.547406255	0.3519090049	0.3992704952
-0.7	0.9076923077	0.103324486	0.1602825137	1.551253918	0.3554394731	0.4042788654
-0.7	0.9153846154	0.1043986697	0.1623592545	1.555185089	0.3591346989	0.4095170062
-0.7	0.9230769231	0.1055216105	0.1645279847	1.559187582	0.3629976504	0.4149871713
-0.7	0.9307692308	0.1066941782	0.1667896075	1.563249376	0.36703132	0.4206916381
-0.7	0.9384615385	0.1079172498	0.1691450352	1.567358653	0.3712387246	0.4266327082
-0.7	0.9461538462	0.1091917093	0.1715951899	1.571503835	0.3756229055	0.4328127072
-0.7	0.9538461538	0.110518448	0.1741410032	1.575673621	0.3801869282	0.4392339847
-0.7	0.9615384615	0.1118983641	0.1767834159	1.579857019	0.3849338829	0.4458989141
-0.7	0.9692307692	0.1133323629	0.1795233788	1.584043376	0.3898668838	0.452809893
-0.7	0.9769230769	0.1148213569	0.1823618518	1.588222407	0.3949890698	0.4599693431
-0.7	0.9846153846	0.1163662656	0.1852998046	1.592384216	0.4003036041	0.4673797099
-0.7	0.9923076923	0.1179680156	0.1883382162	1.596519321	0.4058136743	0.4750434629
-0.7	1	0.1196275406	0.1914780753	1.600618673	0.4115224923	0.4829630957
-0.7	1.007692308	0.1213457813	0.1947203799	1.604673667	0.4174332945	0.4911411259
-0.7	1.015384615	0.1231236858	0.1980661378	1.608676158	0.4235493415	0.4995800952
-0.7	1.023076923	0.1249622089	0.2015163661	1.61261847	0.4298739186	0.5082825689
-0.7	1.030769231	0.1268623127	0.2050720914	1.616493403	0.4364103352	0.5172511369
-0.7	1.038461538	0.1288249663	0.2087343501	1.620294234	0.4431619253	0.5264884125
-0.7	1.046153846	0.130851146	0.2125041877	1.624014723	0.4501320471	0.5359970335
-0.7	1.053846154	0.1329418351	0.2163826595	1.627649109	0.4573240833	0.5457796614
-0.7	1.061538462	0.1350980241	0.2203708303	1.631192105	0.4647414409	0.5558389819
-0.7	1.069230769	0.1373207104	0.2244697743	1.634638895	0.4723875515	0.5661777044
-0.7	1.076923077	0.1396108986	0.2286805753	1.637985126	0.4802658709	0.5767985626
-0.7	1.084615385	0.1419696005	0.2330043267	1.641226895	0.4883798793	0.5877043142
-0.7	1.092307692	0.1443978347	0.2374421311	1.644360745	0.4967330813	0.5988977407
-0.7	1.1	0.1468966272	0.2419951009	1.647383643	0.5053290059	0.6103816477
-0.7	1.107692308	0.149467011	0.246664358	1.650292974	0.5141712065	0.6221588649
-0.7	1.115384615	0.1521100259	0.2514510338	1.653086522	0.523263261	0.6342322458
-0.7	1.123076923	0.1548267193	0.2563562691	1.655762456	0.5326087714	0.6466046681
-0.7	1.130769231	0.1576181453	0.2613812142	1.658319312	0.5422113643	0.6592790334
-0.7	1.138461538	0.1604853652	0.2665270292	1.660755975	0.5520746907	0.6722582673
-0.7	1.146153846	0.1634294474	0.2717948834	1.663071666	0.562202426	0.6855453194
-0.7	1.153846154	0.1664514675	0.2771859558	1.665265918	0.5725982698	0.6991431635
-0.7	1.161538462	0.1695525079	0.2827014348	1.667338562	0.5832659462	0.713054797
-0.7	1.169230769	0.1727336585	0.2883425184	1.669289708	0.5942092038	0.7272832417
-0.7	1.176923077	0.1759960158	0.2941104141	1.671119728	0.6054318154	0.7418315431
-0.7	1.184615385	0.1793406838	0.3000063388	1.672829234	0.6169375784	0.756702771
-0.7	1.192307692	0.1827687735	0.3060315192	1.674419067	0.6287303143	0.7719000189
-0.7	1.2	0.1862814028	0.3121871913	1.675890275	0.6408138693	0.7874264045
-0.5256410256	0.9	0.1122807069	0.1698976143	1.513150559	0.3862491538	0.4285309305
-0.5256410256	0.9076923077	0.1133244256	0.1719043491	1.516922306	0.3898395792	0.4335924962
-0.5256410256	0.9153846154	0.1144146637	0.1739989871	1.520775235	0.3935900323	0.4388757791
-0.5256410256	0.9230769231	0.1155522781	0.1761824258	1.524698852	0.3975034617	0.4443830431
-0.5256410256	0.9307692308	0.1167381332	0.1784555722	1.528682764	0.4015828404	0.4501165759
-0.5256410256	0.9384615385	0.1179731003	0.1808193428	1.532716716	0.4058311659	0.4560786892
-0.5256410256	0.9461538462	0.1192580578	0.1832746637	1.536790613	0.4102514599	0.4622717187
-0.5256410256	0.9538461538	0.1205938911	0.1858224704	1.540894557	0.4148467686	0.4686980243
-0.5256410256	0.9615384615	0.121981493	0.188463708	1.545018866	0.4196201626	0.4753599895
-0.5256410256	0.9692307692	0.1234217631	0.1911993311	1.549154106	0.4245747368	0.4822600223
-0.5256410256	0.9769230769	0.1249156081	0.1940303038	1.553291111	0.4297136106	0.4894005543
-0.5256410256	0.9846153846	0.126463942	0.1969575996	1.557421005	0.4350399278	0.4967840413
-0.5256410256	0.9923076923	0.1280676857	0.1999822019	1.561535221	0.4405568564	0.504412963
-0.5256410256	1	0.1297277673	0.2031051031	1.56562552	0.4462675889	0.5122898232
-0.5256410256	1.007692308	0.1314451218	0.2063273054	1.569684007	0.4521753423	0.5204171497
-0.5256410256	1.015384615	0.1332206915	0.2096498207	1.573703141	0.4582833579	0.5287974942
-0.5256410256	1.023076923	0.1350554257	0.2130736699	1.577675749	0.4645949013	0.5374334325
-0.5256410256	1.030769231	0.1369502809	0.216599884	1.581595032	0.4711132626	0.5463275644
-0.5256410256	1.038461538	0.1389062205	0.220229503	1.585454576	0.4778417562	0.5554825136
-0.5256410256	1.046153846	0.1409242152	0.2239635768	1.589248353	0.484783721	0.5649009279
-0.5256410256	1.053846154	0.1430052425	0.2278031647	1.592970724	0.4919425202	0.5745854791
-0.5256410256	1.061538462	0.1451502872	0.2317493353	1.596616443	0.4993215414	0.5845388629
-0.5256410256	1.069230769	0.1473603413	0.235803167	1.600180652	0.5069241967	0.5947637992
-0.5256410256	1.076923077	0.1496364036	0.2399657477	1.603658882	0.5147539224	0.6052630318
-0.5256410256	1.084615385	0.1519794801	0.2442381746	1.607047046	0.5228141793	0.6160393283
-0.5256410256	1.092307692	0.1543905841	0.2486215546	1.610341434	0.5311084525	0.6270954807
-0.5256410256	1.1	0.1568707357	0.253117004	1.613538707	0.5396402518	0.6384343046
-0.5256410256	1.107692308	0.1594209621	0.2577256488	1.616635889	0.5484131109	0.65005864
-0.5256410256	1.115384615	0.1620422979	0.2624486244	1.619630354	0.5574305882	0.6619713506
-0.5256410256	1.123076923	0.1647357845	0.2672870756	1.622519821	0.5666962664	0.6741753241
-0.5256410256	1.130769231	0.1675024704	0.2722421569	1.625302339	0.5762137527	0.6866734725
-0.5256410256	1.138461538	0.1703434113	0.2773150322	1.627976275	0.5859866785	0.6994687315
-0.5256410256	1.146153846	0.1732596699	0.282506875	1.630540304	0.5960186998	0.7125640609
-0.5256410256	1.153846154	0.1762523162	0.2878188682	1.632993395	0.6063134968	0.7259624446
-0.5256410256	1.161538462	0.179322427	0.2932522045	1.635334796	0.6168747741	0.7396668903
-0.5256410256	1.169230769	0.1824710863	0.2988080857	1.637564021	0.6277062609	0.7536804298
-0.5256410256	1.176923077	0.1856993852	0.3044877234	1.639680837	0.6388117105	0.7680061191
-0.5256410256	1.184615385	0.189008422	0.3102923386	1.641685251	0.6501949008	0.7826470379
-0.5256410256	1.192307692	0.1923993019	0.316223162	1.643577492	0.661859634	0.79760629
-0.5256410256	1.2	0.1958731373	0.3222814335	1.645358001	0.6738097368	0.8128870033
-0.3512820513	0.9	0.1236416347	0.1832108179	1.481789029	0.4253311022	0.462110681
-0.3512820513	0.9076923077	0.1247264462	0.185269779	1.485408946	0.4290628876	0.4673039766
-0.3512820513	0.9153846154	0.1258566033	0.1874138444	1.489106169	0.4329506635	0.4727119298
-0.3512820513	0.9230769231	0.1270329576	0.1896439155	1.492871764	0.4369973592	0.4783368143
-0.3512820513	0.9307692308	0.1282563677	0.1919609035	1.496696866	0.4412059282	0.4841809282
-0.3512820513	0.9384615385	0.1295276992	0.1943657288	1.500572696	0.4455793485	0.4902465933
-0.3512820513	0.9461538462	0.1308478249	0.1968593216	1.504490592	0.4501206223	0.4965361556
-0.3512820513	0.9538461538	0.1322176247	0.1994426214	1.508442024	0.4548327765	0.5030519849
-0.3512820513	0.9615384615	0.1336379854	0.2021165773	1.512418618	0.4597188622	0.5097964753
-0.3512820513	0.9692307692	0.1351098013	0.204882148	1.516412178	0.4647819548	0.5167720447
-0.3512820513	0.9769230769	0.1366339733	0.2077403017	1.520414701	0.4700251543	0.5239811349
-0.3512820513	0.9846153846	0.1382114097	0.2106920159	1.524418399	0.475451585	0.531426212
-0.3512820513	0.9923076923	0.1398430258	0.2137382778	1.528415712	0.4810643955	0.5391097659
-0.3512820513	1	0.1415297439	0.2168800842	1.532399326	0.4868667589	0.5470343104
-0.3512820513	1.007692308	0.1432724936	0.2201184412	1.536362184	0.4928618726	0.5552023836
-0.3512820513	1.015384615	0.1450722115	0.2234543646	1.540297499	0.4990529585	0.5636165474
-0.3512820513	1.023076923	0.1469298412	0.2268888796	1.544198767	0.5054432629	0.5722793878
-0.3512820513	1.030769231	0.1488463334	0.230423021	1.548059772	0.5120360562	0.5811935146
-0.3512820513	1.038461538	0.150822646	0.234057833	1.551874597	0.5188346336	0.590361562
-0.3512820513	1.046153846	0.1528597439	0.2377943694	1.555637628	0.5258423144	0.5997861877
-0.3512820513	1.053846154	0.1549585992	0.2416336936	1.559343559	0.5330624424	0.6094700739
-0.3512820513	1.061538462	0.157120191	0.2455768783	1.562987397	0.5404983858	0.6194159263
-0.3512820513	1.069230769	0.1593455054	0.2496250059	1.566564462	0.5481535371	0.6296264751
-0.3512820513	1.076923077	0.1616355357	0.2537791682	1.570070388	0.5560313133	0.6401044742
-0.3512820513	1.084615385	0.1639912823	0.2580404666	1.573501121	0.5641351557	0.6508527015
-0.3512820513	1.092307692	0.1664137528	0.262410012	1.57685292	0.57246853	0.6618739591
-0.3512820513	1.1	0.1689039616	0.2668889249	1.580122351	0.5810349264	0.6731710729
-0.3512820513	1.107692308	0.1714629304	0.271478335	1.583306283	0.5898378592	0.6847468929
-0.3512820513	1.115384615	0.1740916879	0.2761793819	1.586401886	0.5988808675	0.696604293
-0.3512820513	1.123076923	0.1767912699	0.2809932145	1.589406618	0.6081675145	0.7087461713
-0.3512820513	1.130769231	0.1795627195	0.2859209912	1.592318228	0.6177013878	0.7211754498
-0.3512820513	1.138461538	0.1824070865	0.2909638802	1.595134738	0.6274860996	0.7338950744
-0.3512820513	1.146153846	0.185325428	0.2961230587	1.597854444	0.6375252861	0.7469080151
-0.3512820513	1.153846154	0.1883188084	0.3013997139	1.600475898	0.6478226084	0.760217266
-0.3512820513	1.161538462	0.1913882987	0.3067950424	1.602997907	0.6583817515	0.773825845
-0.3512820513	1.169230769	0.1945349775	0.31231025	1.605419519	0.6692064251	0.7877367942
-0.3512820513	1.176923077	0.19775993	0.3179465525	1.607740013	0.6803003631	0.8019531795
-0.3512820513	1.184615385	0.201064249	0.3237051749	1.609958889	0.691667324	0.8164780909
-0.3512820513	1.192307692	0.204449034	0.3295873517	1.612075857	0.7033110906	0.8313146425
-0.3512820513	1.2	0.2079153917	0.3355943272	1.61409083	0.7152354699	0.8464659723
-0.1769230769	0.9	0.1363809801	0.1982364797	1.453549311	0.4691548499	0.5000097467
-0.1769230769	0.9076923077	0.1375305476	0.2003788034	1.4569767	0.4731093981	0.5054133068
-0.1769230769	0.9153846154	0.1387244886	0.2026038263	1.460476289	0.4772165925	0.5110254582
-0.1769230769	0.9230769231	0.1399636489	0.2049124539	1.464040524	0.4814793429	0.5168484849
-0.1769230769	0.9307692308	0.1412488815	0.2073056013	1.467661897	0.4859005833	0.5228846949
-0.1769230769	0.9384615385	0.1425810464	0.2097841932	1.471332961	0.4904832723	0.5291364205
-0.1769230769	0.9461538462	0.1439610107	0.2123491635	1.475046351	0.4952303928	0.5356060178
-0.1769230769	0.9538461538	0.1453896486	0.215001456	1.478794798	0.500144952	0.5422958667
-0.1769230769	0.9615384615	0.1468678414	0.2177420238	1.482571145	0.5052299817	0.5492083715
-0.1769230769	0.9692307692	0.1483964775	0.2205718296	1.486368365	0.5104885378	0.5563459602
-0.1769230769	0.9769230769	0.1499764524	0.2234918455	1.490179572	0.5159237009	0.5637110851
-0.1769230769	0.9846153846	0.1516086685	0.2265030533	1.493998038	0.5215385758	0.5713062221
-0.1769230769	0.9923076923	0.1532940357	0.2296064441	1.497817205	0.5273362917	0.5791338715
-0.1769230769	1	0.1550334706	0.2328030187	1.501630698	0.5333200022	0.5871965573
-0.1769230769	1.007692308	0.156827897	0.2360937873	1.505432336	0.5394928853	0.5954968276
-0.1769230769	1.015384615	0.1586782458	0.2394797697	1.50921614	0.5458581434	0.6040372547
-0.1769230769	1.023076923	0.1605854552	0.2429619952	1.512976346	0.5524190033	0.6128204347
-0.1769230769	1.030769231	0.16255047	0.2465415025	1.51670741	0.5591787162	0.6218489876
-0.1769230769	1.038461538	0.1645742427	0.25021934	1.520404019	0.5661405576	0.6311255577
-0.1769230769	1.046153846	0.1666577324	0.2539965655	1.524061091	0.5733078274	0.640652813
-0.1769230769	1.053846154	0.1688019054	0.2578742463	1.527673788	0.58068385	0.6504334458
-0.1769230769	1.061538462	0.1710077354	0.2618534593	1.531237512	0.5882719742	0.6604701721
-0.1769230769	1.069230769	0.1732762027	0.2659352909	1.534747916	0.5960755729	0.6707657321
-0.1769230769	1.076923077	0.175608295	0.2701208369	1.538200897	0.6040980437	0.68132289
-0.1769230769	1.084615385	0.1780050071	0.2744112028	1.541592606	0.6123428086	0.6921444339
-0.1769230769	1.092307692	0.1804673408	0.2788075035	1.544919442	0.6208133137	0.703233176
-0.1769230769	1.1	0.182996305	0.2833108635	1.548178055	0.6295130297	0.7145919525
-0.1769230769	1.107692308	0.1855929156	0.2879224166	1.55136534	0.6384454517	0.7262236235
-0.1769230769	1.115384615	0.1882581957	0.2926433064	1.55447844	0.6476140991	0.7381310732
-0.1769230769	1.123076923	0.1909931756	0.2974746858	1.557514737	0.6570225157	0.7503172097
-0.1769230769	1.130769231	0.1937988925	0.3024177174	1.560471855	0.6666742698	0.7627849652
-0.1769230769	1.138461538	0.1966763907	0.3074735732	1.563347649	0.6765729539	0.775537296
-0.1769230769	1.146153846	0.1996267217	0.3126434346	1.566140204	0.686722185	0.7885771821
-0.1769230769	1.153846154	0.202650944	0.3179284929	1.568847826	0.6971256046	0.8019076278
-0.1769230769	1.161538462	0.2057501232	0.3233299484	1.571469039	0.7077868783	0.8155316613
